Index,Time,camToTurretTranformationDisplay[0],camToTurretTranformationDisplay[1],camToTurretTranformationDisplay[2],camToTurretTranformationDisplay[3],camToTurretTranformationDisplay[4],camToTurretTranformationDisplay[5],camToTurretTranformationDisplay[6],camToTurretTranformationDisplay[7],camToTurretTranformationDisplay[8],camToTurretTranformationDisplay[9],camToTurretTranformationDisplay[10],camToTurretTranformationDisplay[11],camToTurretTranformationDisplay[12],camToTurretTranformationDisplay[13],camToTurretTranformationDisplay[14],camToTurretTranformationDisplay[15]
7130,7.129996,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7131,7.131034,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7132,7.132046,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7133,7.133000,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7134,7.133998,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7135,7.135004,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7136,7.136002,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7137,7.136997,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7138,7.137997,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7139,7.139003,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7140,7.139998,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7141,7.140996,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7142,7.142002,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7143,7.143000,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7144,7.143995,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7145,7.145004,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7146,7.145999,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7147,7.147027,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7148,7.148001,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7149,7.149047,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
7150,7.150009,0.989275277,-0.145113692,-0.0166272484,0.0535034575,0.146063164,0.982844591,0.112615161,0.0620988272,0,-0.11383602,0.993499577,-0.0152024766,0,0,0,1
